Which is the longest river in Uganda?,Nile River,Victoria River;Nile River;Great white river; Limpopo river 
What makes Uganda more temperate than surrounding countries?,Altitude,Heaters;Climate;Altitude;Equator
What is Uganda's climate?,Tropical,Tropical;Sub-tropical;Meditteranean;Semiarid
What are Uganda's primary exports?,Coffee;Tea;Cotton;Flowers,Coffee;Tea;Cotton;Flowers
Which sea Uganda has access to?,None,Atlantic Ocean;Pacific Ocean;Red Sea;None
On what date do they celebrate independency?,Oct 09,Jan 01;Jul 05;May 26;Oct 09
What was the last population count?,35 million,3 million;35 million;100 thousand;200 hundred
How may dry seasons Uganda experience in a year?,2,2;4;1;0
Which political party is ruling in Uganda?,National Resistance Movement,National Resistance Movement;African National Congress; United Nations, Freedom Fighters Movement
True or False? The Equator does not pass through Uganda.,True,True;False
