True or false? Age does not earn earn respect in many famalies in Nigeria.,FALSE,Nigeria
What are 3 neighbouring countries of Nigeria?,Republic of Benin,Chad,Cameroon,Nigeria
True of False? Nigeria is one of the largest nations in Africa.,TRUE,Nigeria
Who is the president of Nigeria?,Goodluck Jonathan,Nigeria
How do you address older siblings in Nigeria?,Senior Sister and Senior Brother,Nigeria
Which river flows through Nigeria?,Niger ,Nigeria
What is Nigeria's national anthem,Arise,O compatriots,Nigeria
What is Nigeria's currency?,Nigerian Naira,Nigeria
How many colours does their  flag have?,2,Nigeria
What is the name of Nigeria's national football team?,Super Eagles,Nigeria
